quote	source
Unrequited love is the infinite curse of a lonely heart.	Christina Westover
Sometimes I feel like we're a knot, too tangled to be taken apart.	Kiera Cass, The Elite
Surely it was a good way to die, in the place of someone else, someone I loved.	Stephenie Meyer, Twilight
Let us always meet each other with smile, for the smile is the beginning of love.	Mother Teresa
What I cannot love, I overlook.	Anaïs Nin
Only the united beat of sex and heart together can create ecstasy.	Anaïs Nin, Delta of Venus
Loving someone is giving them the power to break your heart, but trusting them not to.	Julianne Moore
Close your eyes and I'll kiss you, Tomorrow I'll miss you.	Paul McCartney
Being in love, I find myself smiling for no reason at all...	Nicholas Sparks, Dear John
This I want to believe implicitly: Man was born for love and revolution.	Osamu Dazai, The Setting Sun
Like some wines our love could neither mature nor travel.	Graham Greene, The Comedians
If you love me as you say you do,' she whispered, 'make it so that I am at peace.	Leo Tolstoy, Anna Karenina
The more boys I meet the more I love my dog.	Carrie Underwood
Absence makes the heart grow fonder, but it sure makes the rest of you lonely.	Charles M. Schulz
Hate looks like everybody else until it smiles	Tahereh Mafi
She's mad, but she's magic. There's no lie in her fire.	Charles Bukowski
I think you're still the only person sharp enough to sharpen someone like me.	Veronica Roth, Allegiant
Tears are words the heart can't express	Gerard Way
Ultimately, it is the desire, not the desired, that we love.	Friedrich Nietzsche
Your naked body should only belong to those who fall in love with your naked soul.	Charlie Chaplin
Sweets to the sweet.	William Shakespeare, Hamlet
You who suffer because you love, love still more. To die of love, is to live by it.	Victor Hugo, Les Misérables
I got my heart's desire, and there my troubles began.	Lev Grossman, The Magicians
Know that love is truly timeless.	Mary M. Ricksen
We're all golden sunflowers inside.	Allen Ginsberg
Those whom we most love are often the most alien to us.	Christopher Paolini, Eldest
Where you go, I shall go; where you die, I shall die, and there will I be buried.	Rosamund Hodge, Cruel Beauty
With you, intimacy colours my voice.even ‘hello’ sounds like ‘come here'.	Warsan Shire
A friend of mine once defined love as finding someone you can talk to late into the night	James Patterson
Love is like breathing. You take it in and let it out.	Wally Lamb, She's Come Undone
Hate is... It's too easy. Love. Love takes courage.	Hannah Harrington, Speechless
I'm guilty of giving people more chances than they deserve but when I'm done, I'm done.	Turcois Ominek
Do you really think anyone in this world, compares to you in my eyes?	S.C. Stephens, Thoughtless
I'm backing down now. I really do love you. That's why I'm doing this.	Richelle Mead, Last Sacrifice
You are the most important thing to me now. The most important thing to me ever.	Stephenie Meyer, Twilight
People wait around too long for love. I'm happy with all of my lusts!	C. JoyBell C.
What's a fuck when what I want is love?	Henry Miller
Two things you will never have to chase: True friends & true love.	Mandy Hale
Nobody ever gets what they want when it comes to love.	Scott Turow
How can something so wrong feel so right?	Tabitha Suzuma, Forbidden
I don't think you can define love.	Harry Styles
It's hard to love a woman and do anything.	Leo Tolstoy, Anna Karenina
If equal affection cannot be,Let the more loving one be me.	W.H. Auden
Five minutes are enough to dream a whole life, that is how relative time is.	Mario Benedetti
There will never be no love at all.	Bob Marley
I love you and it's getting worse.	Joseph E. Morris
A kiss on the beach when there is a full moon is the closest thing to heaven.	H. Jackson Brown Jr.
I...will never...regret you.	Colleen Hoover, Maybe Someday
There is no charm equal to tenderness of heart.	Jane Austen
I don't understand the point of being together if you're not the happiest.	Gillian Flynn, Gone Girl
I have been loving you a little more every minute since this morning.	Victor Hugo, Les Misérables
He offered her the world. She said she had her own.	Monique Duval
I don't let nobody see me wishin' he was mine	Taylor Swift
If a writer falls in love with you, you can never die.	Mik Everett
When you know my love, my love will warm you.	Ruby Dee
Love is the only force capable of transforming an enemy to a friend.	Martin Luther King Jr.
I needed him like I'd never needed anyone.	Becca Fitzpatrick, Crescendo
Every day People straighten up the hair, why not the heart?	Ernesto Che Guevara
A weed is but an unloved flower.	Ella Wheeler Wilcox
The only queer people are those who don't love anybody.	Rita Mae Brown
You have my whole heart. You always did.	Cormac McCarthy, The Road
The Heart wants what it wants - or else it does not care	Emily Dickinson
Men build too many walls and not enough bridges.	Joseph Fort Newton
A woman should soften but not weaken a man.	Sigmund Freud
I want someone whose heart is big enough to hold me.	Rainbow Rowell, Attachments
Love me like you'll never see me again.	Alicia Keys
A best friend is the only one that walks into your life when the world has walked out.	Shannon L. Alder
When you fish for love, bait with your heart, not your brain.	Mark Twain, Notebook
Love takes off the masks we fear we cannot live without and know we cannot live within.	James     Baldwin
You might be looking for reasons but there are no reasons.	Nina LaCour, Hold Still
What if I were smiling and running into your arms? Would you see then what I see now?	Jon Krakauer, Into the Wild
What is love? two souls and one flesh friendship? two bodies and one soul.	Joseph Roux
Ever since time began, people have recognized their true Love by the light in their eyes.	Paulo Coelho
True beauty is something that attacks, overpowers, robs, and finally destroys.	Yukio Mishima
Never forget that justice is what love looks like in public.	Cornel West
And the story of love is a long sad tale ending in graves.	Jack Kerouac
And if you couldn't be loved, the next best thing was to be let alone.	L.M. Montgomery
Sometimes good things fall apart, so better things can fall together.	Jessica Howell
Love is hard to find, hard to keep, and hard to forget.	Alysha Speer
The only way of knowing a person is to love them without hope.	Walter Benjamin
Living simply makes loving simple.	bell hooks
Love the trees until their leaves fall off, then encourage them to try again next year.	Chad Sugg
Physics isn't the most important thing. Love is.	Richard Feynman
Who saidI can't wear my ConverseWith my dress, well babyThat's just me!	Demi Lovato
Love is so unpredictable. That's what makes it so great.	Sarah Dessen, This Lullaby
In love, one and one are one.	Jean-Paul Sartre
None of us can choose where we shall love...	Susan  Kay, Phantom
Remembering. Forgetting. I'm not sure which is worse.	Kelley Armstrong, The Calling
For she had eyes and chose me.	William Shakespeare, Othello
We are asleep until we fall in Love!	Leo Tolstoy, War and Peace
Hearts Live By Being Wounded	Oscar Wilde
The more you are motivated by Love, The more Fearless & Free your action will be.	Dalai Lama XIV
Tell me then, does love make one a fool or do only fools fall in love?	Orhan Pamuk, My Name is Red
He was afraid of defiling the love which filled his soul.	Leo Tolstoy, Anna Karenina
Nothing in life is worth,turning your back on,if you love it.	Albert Camus
You are my butterfly and refuse to set you free.	Shannon Hale
But everyone disappears, no matter who loves them.	Dave Eggers, What Is the What
You can never be wise and be in love at the same time.	Bob Dylan
Jealous?""Maybe.""No reason. I like my ladies with a pulse.	Rachel Caine, Feast of Fools
Truth without love is brutality, and love without truth is hypocrisy.	Warren W. Wiersbe
She was bendable light: she shone around every corner of my day.	Jerry Spinelli, Stargirl
I never lie," I said offhand. "At least not to those I don't love.	Anne Rice, The Vampire Lestat
Love is a state in which a man sees things most decidedly as they are not.	Friedrich Nietzsche
Love is not finding someone to live with. It's finding someone you can't live without.	Rafael Ortiz
Soul meets soul on lovers lips.	Percy Bysshe Shelley
Love is a drama of contradictions.	Franz Kafka
Friendship often ends in love. But love in friendship never. 	Charles Caleb Colton
Love is just a word until someone comes along and gives it meaning.	Paulo Coelho, Aleph
You dumb-ass," I crooned, kissing her on the forehead. "You don't share me. You own me.	Gayle Forman, Where She Went
The worst thing you can do if you miss or need someone is let them know it.	Sarah Dessen, Lock and Key
The greatest thing you'll ever learn is just to love and be loved in return.	Nat King Cole
Love comes with a knife, not some shy question, and not with fears for its reputation!	Jalaluddin Rumi
You can’t leave yet. I’m not finished falling in love with you.	Colleen Hoover, November 9
If we’re going to kiss, it has to be book-worthy.	Colleen Hoover, November 9
You don’t love because: you love despite; not for the virtues, but despite the faults.	William Faulkner
Friendship is selfless love, care, respect, and honor not a profitable opportunity.	Santosh Kalwar
Stains are even worse when you're the only one who can see them.	Gayle Forman, Just One Day
Love is when the other person's happiness is more important than your own.	H. Jackson Brown Jr.
Love! Love until the night collapses!	Pablo Neruda, Machu Picchu
I didn't know love could leave the lights on all the time.	Rainbow Rowell, Attachments
twice I have lived forever in a smile	E.E. Cummings
May you live as long as you wish and love as long as you live.	Robert A. Heinlein
When you leave,weary of me,without a word I shall gently let you go.	Kim Sowol
No matter how bad your heart is broken, the world doesn't stop for your grief.	Faraaz Kazi
No one compares to you, but there's no you, except in my dreams tonight.	Lana Del Rey
Self-talk reflects your innermost feelings.	Asa Don Brown
Everything I know, I know because of love.	Leo Tolstoy, War and Peace
If you love me, Henry, you don’t love me in a way I understand.	Richard Siken, Crush
We live in a dark and romantic and quite tragic world.	Karl Lagerfeld
Gamble everything for love, if you're a true human being.	Jalaluddin Rumi
How 'bout a shot of truth in that denial cocktail.	Jennifer Salaiz
And I didn't choose it, Kat. I chose you.	Ally Carter, Heist Society
He brought out the worst in me, and was the best thing that ever happened to me.	Coco J. Ginger
You smiled and talked to me of nothing and I felt that for this I had been waiting long.	Rabindranath Tagore
A kiss may ruin a human life	Oscar Wilde
Love is like a virus. It can happen to anybody at any time.	Maya Angelou
I like being the girl nobody can have.	Miley Cyrus
Sometimes loneliness makes the loudest noise.	Aaron Ben-Ze'ev
and yet her name was like a summons to all my foolish blood.	James Joyce, Dubliners
Loving someone always requires you to not love others.	Koushun Takami, Battle Royale
I didn't care who kissed you first as long as I kissed you last."-George from If We Kiss	Rachel Vail, If We Kiss
You might as well make yourself fly as to make yourself love.	Marilyn Monroe, My Story
There's only one thing that can heal the heart... Only one... It's love, Gaara.	Masashi Kishimoto
I love you," I whisper. "I love you exactly as you are.	Tahereh Mafi, Ignite Me
Love never dies.	Lauren Kate, Torment
Everything is clearer when you're in love.	John Lennon
I love you, even if there isn’t any me, or any love, or even any life. I love you.	Zelda Fitzgerald
how sad and bad and mad it was - but then, how it was sweet	Robert Browning
But you've slipped under my skin, invaded my blood and seized my heart.	Maria V. Snyder, Poison Study
Only in the agony of parting do we look into the depths of love.	George Eliot
We should love, not fall in love, because everything that falls, gets broken.	Taylor Swift, Taylor Swift
I love you not only for what you are, but for what I am when I am with you	Elizabeth Barrett Browning
Till I loved I never lived.	Emily Dickinson
But you're so busy changing the worldJust one smile can change all of mine	Jack Johnson
No matter how much you love someone, you still want to have you own way.	Chuck Palahniuk, Lullaby
I feel…and I have reason to believe…that we could come to mean something to each other.	Colleen Houck
There is love of course. And then there's life, its enemy.	Jean Anouilh
Tucker: Why would you tell me now if it's against the rules?Clara: Because I love you.	Cynthia Hand, Unearthly
True love is born from understanding.	Gautama Buddha
Are those the only options? Nothing or forever?	Sarah Dessen, This Lullaby
If a man whistles at you, don't turn around. You are a lady not a dog.	Niall Horan
I will be with her again, or I will die. There aren’t any other options	Julie Kagawa, The Iron Knight
Right now, it's hard to imagine that it is raining anywhere in the world.	Maggie Stiefvater, Linger
Love fades. Mine has.	Richelle Mead, Spirit Bound
What does the brain matter compared with the heart?	Virginia Woolf, Mrs. Dalloway
I feel like I’ve been split open and stuffed with sunshine.	Tahereh Mafi, Ignite Me
Loving you forever can't be wrong. Even though you're not here, can't move on	Lana Del Rey
Her existence alone was excuse enough to justify the creation of the entire world.	Stephenie Meyer
The most introspective of souls are often those that have been hurt the most.	Shannon L. Alder
You said move on, where do I go?	Katy Perry
I don't want to live, I want to love first and live incidentally.	Zelda Fitzgerald
Love's gift cannot be given, it waits to be accepted.	Rabindranath Tagore
You can give without loving, but you cannot love without giving.	Amy Carmichael
I'll come and make love to you at five o'clock. If I'm late start without me.	Tallulah Bankhead
When someone beats a rug,the blows are not against the rug, but against the dust in it.	Jalaluddin Rumi
the world is not a pleasant place to be without someone to hold and be held by.	Nikki Giovanni
My father gave me the greatest gift anyone could give another person, he believed in me.	Jim Valvano
Love, and you shall be loved.	Ralph Waldo Emerson
Love is not something you protect. It’s something you risk.	Gayle Forman, Just One Year
Choice or no, my heart is his.	Beth Revis, A Million Suns
It's easy to cry when you realize that everyone you love will reject you or die.	Chuck Palahniuk
I reserve the right to love many different people at once, and to change my prince often.	Anaïs Nin
If you have reasons to love someone, you don’t love them.	Slavoj Žižek
I want him to love me as much as I love him.	L.J. Smith, The Awakening
Sometimes you have to learn to love what's good for you.	Stephenie Meyer, New Moon
It isn't about love," Vee said. "It's about fun.	Becca Fitzpatrick, Hush, Hush
What are you wishing for?' Grace interrupted. 'To kiss you,' I said to her.	Maggie Stiefvater, Linger
I’m sort of… coming off a bad relationship”“When did it end?”“Slightly before it started.	Rainbow Rowell, Attachments
A gentleman holds my hand.A man pulls my hair.A soulmate will do both.	Alessandra Torre
Love is a game of tic-tac-toe,constantly waitingfor the next x or o.	Lang Leav
Dare not say that man forgets sooner than woman, that his love has an earlier death.	Jane Austen, Persuasion
You'll never be able to let him go. You'll always feel wrong about being with me.	Suzanne Collins, Mockingjay
Soulmate" is an overused term, but a true soul connection is very rare, and very real.	Hilary Duff, Devoted
To love makes one solitary.	Virginia Woolf, Mrs. Dalloway
True love always makes a man better, no matter what woman inspires it.	Alexandre Dumas
You can give without loving, but you can never love without giving.	Robert Louis Stevenson
We all know interspecies romance is weird.	Tim Burton
Perhaps people like us cannot love. Ordinary people can - that is their secret. 	Hermann Hesse
Everything happens for a reason and, something better will come along for me!	Selena Gómez
I love you for who you are, not who the world thinks you should be.	Libba Bray, Beauty Queens
No human should mislead another by promising them something they know to be untrue.	Santosh Kalwar
I know what I have given you... I do not know what you have received.	Antonio Porchia
I want your most vital organ. I want it to be mine.	Coco J. Ginger
Three years? That's a thousand tomorrows, ma'am.	Karen Kingsbury
Sometimes I think my whole life has been about holding on to you.	Jodi Picoult, Vanishing Acts
It's not at all hard to understand a person it's only hard to listen without bias.	Criss Jami, Killosophy
Kids chase the love that eludes them.	Mitch Albom, For One More Day
How far have you walked for men who’ve never held your feet in their laps?	Warsan Shire
You were the sun, and I was crashing into you.	Rainbow Rowell, Carry On
There is only one happiness in life, to love and be loved.	George Sand
Never stop smiling not even when you're sad, someone might fall in love with your smile.	Gabriel García Márquez
If you love something let it go.. if it comes back its yours	James Patterson, Max
Real love finds you once, if you're lucky.	Ellen Hopkins, Burned
Falling in love should be the easiest thing in the world, but it's not.	Rachel Hawthorne, Full Moon
Time is how you spend your love.	Zadie Smith
The most difficult aspect of moving on is accepting that the other person already did.	Faraaz Kazi
One heart cannot serve two masters.	Robin LaFevers, Grave Mercy
Well my gun fires seven different shades of shit, so what's your favorite color, punk?	Gerard Way
Traveling in the company of those we love is home in motion.	Leigh Hunt
That this girl would know exactly how to shatter me.	Tahereh Mafi, Destroy Me
I was feeling insecure you might not love me anymore	John Lennon
Ang great love mo, hindi mo makakatuluyan. Ang makakatuluyan mo ay yung correct love.	Ricky Lee, Para Kay B
He will love only once - but it will be for always.	Judith McNaught, Paradise
Love is a fruit in season at all times and within reach of every hand.	Mother Teresa
Love, that moves the sun and the other stars	Dante Alighieri, Paradiso
The worst thing: to give yourself away in exchange for not enough love.	Joyce Carol Oates
I love you every day. And now I will miss you every day.	Mitch Albom, For One More Day
To long a sacrifice can make a stone of a heart	W.B. Yeats
You'd be surprised what people will do for money that they wouldn't do forlove.Myrnin.	Rachel Caine, Bite Club
The sun's gone dim, and the moon's gone black. For I loved him, and he didn't love back.	Dorothy Parker
Happiness is the china shop love is the bull. 	H.L. Mencken
Time has no meaning,Love will endure..	Jude Deveraux
I am yours.Don't give myself back to me.	Jalaluddin Rumi
Love at first sight is easy to understand	Amy Bloom
You know, when it works, love is amazing. It's not overrated.	Sarah Dessen, This Lullaby
The quickest path to self-destruction is to push away the people you love.	Cassia Leo, Pieces of You
A wonderful gift may not be wrapped as you expect.	Jonathan Lockwood Huie
A heart, once stolen, can never be taken back.	Marissa Meyer, Heartless
To love and be loved is to feel the sun from both sides.	David Viscott
Love makes the world go round? Not at all. Whiskey makes it go round twice as fast.	Compton Mackenzie
One is never wounded by the love one gives, only by the love one expects.	Marty Rubin
Language is the key to the heart of people.	Ahmed Deedat
Peace,love,empathy	Kurt Cobain
The world is filled with love-play, from animal lust to sublime compassion.	Alan W. Watts
LOVE is a friendship set to music	E. Joseph Cossman
I am the least difficult of men. All I want is boundless love.	Frank O'Hara
if they put an iron circle around your neck I will bite it away	Toni Morrison, Beloved
I had fallen too far. I was in love with Rush Finlay.	Abbi Glines, Fallen Too Far
That I shall love always, I argue theethat love is life,and life hath immortality	Emily Dickinson
Your inner strength is your outer foundation	Allan Rufus
Any time not spent on love is wasted.	Torquato Tasso
To become vegetarian is to step into the stream which leads to nirvana.	Gautama Buddha
Don't let yourself die without knowing the wonder of fucking with love.	Gabriel García Márquez
Loving you was like going to war I never came back the same. 	Warsan Shire
People die. Love endures.	Rick Yancey, The Infinite Sea
Love cures people, both the ones who give it and the ones who receive it.	Karl A. Menninger
Were knowledge all, what were our needTo thrill and faint and sweetly bleed?	Christopher Brennan
to love means to realize there is a time to let the beloved one go	Tony Parsons, Man and Boy
